,Data,Time,con_sk
322,14.01.2019,10:00:00,720.0
323,14.01.2019,11:00:00,680.0
324,14.01.2019,12:00:00,636.0
325,14.01.2019,13:00:00,621.0
326,14.01.2019,14:00:00,596.0
327,14.01.2019,15:00:00,656.0
328,14.01.2019,16:00:00,667.0
329,14.01.2019,17:00:00,640.0
330,14.01.2019,18:00:00,649.0
331,14.01.2019,19:00:00,776.0
332,14.01.2019,20:00:00,744.0
333,14.01.2019,21:00:00,754.0
334,14.01.2019,22:00:00,705.0
335,14.01.2019,23:00:00,734.0
336,15.01.2019,0:00:00,668.0
337,15.01.2019,1:00:00,594.0
338,15.01.2019,2:00:00,561.0
339,15.01.2019,3:00:00,558.0
340,15.01.2019,4:00:00,554.0
341,15.01.2019,5:00:00,537.0
342,15.01.2019,6:00:00,542.0
343,15.01.2019,7:00:00,592.0
344,15.01.2019,8:00:00,666.0
345,15.01.2019,9:00:00,660.0
346,15.01.2019,10:00:00,703.0
347,15.01.2019,11:00:00,681.0
348,15.01.2019,12:00:00,701.0
349,15.01.2019,13:00:00,702.0
350,15.01.2019,14:00:00,663.0
351,15.01.2019,15:00:00,673.0
352,15.01.2019,16:00:00,682.0
353,15.01.2019,17:00:00,680.0
354,15.01.2019,18:00:00,711.0
355,15.01.2019,19:00:00,745.0
356,15.01.2019,20:00:00,768.0
357,15.01.2019,21:00:00,744.0
358,15.01.2019,22:00:00,709.0
359,15.01.2019,23:00:00,700.0
360,16.01.2019,0:00:00,604.0
361,16.01.2019,1:00:00,574.0
362,16.01.2019,2:00:00,575.0
363,16.01.2019,3:00:00,523.0
364,16.01.2019,4:00:00,545.0
365,16.01.2019,5:00:00,541.0
366,16.01.2019,6:00:00,537.0
367,16.01.2019,7:00:00,612.0
368,16.01.2019,8:00:00,672.0
369,16.01.2019,9:00:00,680.0
370,16.01.2019,10:00:00,691.0
371,16.01.2019,11:00:00,671.0
372,16.01.2019,12:00:00,683.0
373,16.01.2019,13:00:00,657.0
374,16.01.2019,14:00:00,656.0
375,16.01.2019,15:00:00,677.0
376,16.01.2019,16:00:00,692.0
377,16.01.2019,17:00:00,679.0
378,16.01.2019,18:00:00,678.0
379,16.01.2019,19:00:00,770.0
380,16.01.2019,20:00:00,750.0
381,16.01.2019,21:00:00,717.0
382,16.01.2019,22:00:00,711.0
383,16.01.2019,23:00:00,684.0
384,17.01.2019,0:00:00,643.0
385,17.01.2019,1:00:00,557.0
386,17.01.2019,2:00:00,574.0
387,17.01.2019,3:00:00,543.0
388,17.01.2019,4:00:00,537.0
389,17.01.2019,5:00:00,557.0
390,17.01.2019,6:00:00,581.0
391,17.01.2019,7:00:00,627.0
392,17.01.2019,8:00:00,674.0
393,17.01.2019,9:00:00,716.0
394,17.01.2019,10:00:00,711.0
395,17.01.2019,11:00:00,668.0
